framename,precision_Gesture,recall_Gesture,f1_Gesture,precision_NoGesture,recall_NoGesture,f1_NoGesture,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,accuracy
015,0.08108108108108109,0.12,0.0967741935483871,0.921146953405018,0.8831615120274914,0.9017543859649123,0.5011140172430495,0.5015807560137457,0.4992642897566497,0.8546860457844533,0.8227848101265823,0.8380692441598074,0.8227848101265823
016,0.9504950495049505,0.38866396761133604,0.5517241379310345,0.29767441860465116,0.927536231884058,0.4507042253521127,0.6240847340548008,0.658100099747697,0.5012141816415736,0.8079487725045686,0.5063291139240507,0.5296659924628522,0.5063291139240507
017,0.3172690763052209,0.6929824561403509,0.43526170798898073,0.47761194029850745,0.15841584158415842,0.2379182156133829,0.39744050830186417,0.4256991488622547,0.33658996180118184,0.41976672987054964,0.3512658227848101,0.30911175400204793,0.3512658227848101
018,0.38095238095238093,0.18181818181818182,0.24615384615384617,0.7372262773722628,0.8859649122807017,0.8047808764940239,0.5590893291623218,0.5338915470494418,0.525467361323935,0.6380107619135615,0.689873417721519,0.6492138553866327,0.689873417721519
019,1.0,0.38283828382838286,0.5536992840095465,0.065,1.0,0.12206572769953052,0.5325,0.6914191419141914,0.3378825058545385,0.9615348101265824,0.40822784810126583,0.5359422073259066,0.40822784810126583
020,0.7058823529411765,0.39344262295081966,0.5052631578947369,0.7016129032258065,0.8969072164948454,0.7873303167420814,0.7037476280834916,0.6451749197228325,0.6462967373184092,0.703261235077943,0.7025316455696202,0.6784309706048155,0.7025316455696202
021,0.6222222222222222,0.4666666666666667,0.5333333333333333,0.8814814814814815,0.9333333333333333,0.9066666666666666,0.7518518518518519,0.7,0.72,0.8320987654320988,0.8444444444444444,0.8355555555555555,0.8444444444444444
022,0.75,0.4875,0.5909090909090909,0.8446969696969697,0.9449152542372882,0.892,0.7973484848484849,0.716207627118644,0.7414545454545455,0.8207230533179901,0.8291139240506329,0.8157744533947064,0.8291139240506329
023,0.4090909090909091,0.25,0.3103448275862069,0.9081632653061225,0.9535714285714286,0.9303135888501742,0.6586270871985158,0.6017857142857144,0.6203292082181906,0.8513069209271741,0.8734177215189873,0.8596842363011147,0.8734177215189873
024,0.0,0.0,0.0,1.0,0.38924050632911394,0.5603644646924829,0.5,0.19462025316455697,0.28018223234624146,1.0,0.38924050632911394,0.5603644646924829,0.38924050632911394
025,0.7142857142857143,0.11363636363636363,0.19607843137254902,0.7417218543046358,0.9824561403508771,0.8452830188679246,0.728003784295175,0.5480462519936203,0.5206807251202368,0.7340814102487336,0.740506329113924,0.6644918679198453,0.740506329113924
026,0.0,0.0,0.0,1.0,0.6708860759493671,0.803030303030303,0.5,0.33544303797468356,0.4015151515151515,1.0,0.6708860759493671,0.803030303030303,0.6708860759493671
027,0.0,0.0,0.0,1.0,0.5158227848101266,0.6805845511482255,0.5,0.2579113924050633,0.34029227557411273,1.0,0.5158227848101266,0.6805845511482255,0.5158227848101266
028,0.0,0.0,0.0,1.0,0.17405063291139242,0.29649595687331537,0.5,0.08702531645569621,0.14824797843665768,1.0,0.17405063291139242,0.29649595687331537,0.17405063291139242
029,0.0,0.0,0.0,1.0,0.689873417721519,0.8164794007490637,0.5,0.3449367088607595,0.40823970037453183,1.0,0.689873417721519,0.8164794007490637,0.689873417721519
030,0.0,0.0,0.0,1.0,0.1962025316455696,0.328042328042328,0.5,0.0981012658227848,0.164021164021164,1.0,0.1962025316455696,0.328042328042328,0.1962025316455696
031,0.0,0.0,0.0,1.0,0.43037974683544306,0.6017699115044248,0.5,0.21518987341772153,0.3008849557522124,1.0,0.43037974683544306,0.6017699115044248,0.43037974683544306
032,0.0,0.0,0.0,1.0,0.5822784810126582,0.736,0.5,0.2911392405063291,0.368,1.0,0.5822784810126582,0.736,0.5822784810126582
033,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
034,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
035,0.0,0.0,0.0,1.0,0.8062283737024222,0.89272030651341,0.5,0.4031141868512111,0.446360153256705,1.0,0.8062283737024222,0.8927203065134098,0.8062283737024222
036,0.3448275862068966,0.7142857142857143,0.46511627906976744,0.8830409356725146,0.6138211382113821,0.7242206235011991,0.6139342609397056,0.6640534262485482,0.5946684512854833,0.7638164595250676,0.6360759493670886,0.6668240915068946,0.6360759493670886
037,0.3372093023255814,0.46774193548387094,0.3918918918918919,0.5416666666666666,0.40625,0.4642857142857143,0.43943798449612403,0.4369959677419355,0.4280888030888031,0.46143656167206354,0.43037974683544306,0.43587801182737895,0.43037974683544306
038,0.14655172413793102,0.21518987341772153,0.17435897435897435,0.69,0.5822784810126582,0.631578947368421,0.4182758620689655,0.3987341772151899,0.4029689608636977,0.5541379310344827,0.49050632911392406,0.5172739541160593,0.49050632911392406
039,0.39285714285714285,0.3235294117647059,0.3548387096774194,0.8196078431372549,0.8600823045267489,0.8393574297188755,0.6062324929971988,0.5918058581457274,0.5970980696981474,0.7262990083493205,0.7427652733118971,0.7334176452725121,0.7427652733118971
GLOBAL,,,,,,,0.5501882339432723,0.5708919798991932,0.5407281512525782,0.7117890427826599,0.6210626789691378,0.6524142291544516,0.6210626789691378
